,ID,acreage,so_PN,so_WC,price,frontage,area,city
1136,267306,66.58508083582322,2.451147490012747,2.0,2350000.0,0,Thủ Đức,TP Hồ Chí Minh
1137,267303,63.03658874942422,3.0,3.0,6.2,0,Bình Thạnh,TP Hồ Chí Minh
1138,267300,64.86492272779141,3.3564933878153327,3.2026049521645965,2.0,0,Tân Bình,TP Hồ Chí Minh
1139,267299,64.54363897256871,3.0,2.0,5.6,1,Gò Vấp,TP Hồ Chí Minh
1140,267298,55.0,3.266615181909057,3.12258550714101,2102000.0,1,Thủ Đức,TP Hồ Chí Minh
1141,267296,47.0,4.0,3.0,4.4,0,Bình Tân,TP Hồ Chí Minh
1142,267295,47.0,4.0,3.0,4.4,0,Bình Tân,TP Hồ Chí Minh
1143,267293,41.0,4.0,3.0,6.9,0,Thanh Xuân,Hà Nội
1144,267292,44.0,4.0,3.7582737572411085,4.5,0,Tân Phú,TP Hồ Chí Minh
1145,267291,81.0,2.0,2.0256277204982878,5.7,0,Quận 7,TP Hồ Chí Minh
1146,267287,44.0,4.0,3.7582737572411085,4.5,0,Tân Phú,TP Hồ Chí Minh
1147,267286,80.0,2.38051574405072,5.1003508432330324,32000000000.0,1,Quận 3,TP Hồ Chí Minh
1148,267283,50.0,4.0,3.759489678366541,4.35,0,Hai Bà Trưng,Hà Nội
1149,267282,50.0,4.0,3.759489678366541,4.35,0,Hai Bà Trưng,Hà Nội
1150,267280,120.0,3.858413971680563,3.650485463003826,1080.0,0,Vĩnh Cửu,Đồng Nai
1151,267279,126.0,4.0,2.0,1.08,0,Biên Hòa,Đồng Nai
1152,267278,42.0,2.0,2.017724232940743,3.85,0,Đống Đa,Hà Nội
1153,267276,45.0,4.0,3.758476410772732,4.6,0,Thanh Xuân,Hà Nội
1154,267273,21.0,2.9571703005296457,2.846275690537101,2.8,0,Tân Bình,TP Hồ Chí Minh
1155,267271,55.0,4.0,4.0,3970000.0,0,Huế,Thừa Thiên Huế
1156,267270,72.0,2.0,2.0,1.65,0,Vĩnh Cửu,Đồng Nai
1157,267267,41.0,3.1392397365112137,3.008742299339856,5.9,0,Tân Bình,TP Hồ Chí Minh
1158,267266,40.0,3.130136260735492,3.0006189752365815,120.0,0,Thanh Trì,Hà Nội
1159,267260,110.0,3.7673792910198616,3.569252099116189,5.9,1,Quận 9,TP Hồ Chí Minh
